element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Fe	1	"353.4525"	"0.0003"	"353.45247"	"0.00009"	"1150bl*"	"2.20e+06"	C+	"3.57321890"	"7.0800206"	"3d7.(2H).4s"	"a 1H"	"5"	"3d6.(1I).4s.4p.(3P*)"	"x 3I*"	"5"		"T5720"	"L11631"	
Ac	2	"353.4630"	"0.0006"	"353.4631"	"0.0004"	"35000"	"4.75e+07"	C+	"2.0775842"	"5.584281"	"6d2"	"3F"	"4"	"5f.6d"	"3F*"	"4"		"T10463"	"L7344"	
Al	2	"353.4856"	"0.0010"	"353.4851"	"0.0010"	"5"	"8.11e+05"	C	"13.841265"	"17.347743"	"3p2"	"1S"	"0"	"3s.7p"	"1P*"	"1"		"T6533"	"L4575"	
O	3	""	""	"353.4904"	"0.0010"	""	"1.11e+07"	C+	"43.409899"	"46.916325"	"2s.2p2.(4P).3s"	"3P"	"1"	"2s.2p2.(4P).3p"	"3P*"	"2"		"T5376LS"	""	
Mg	2	"353.4972"	"0.0010"	"353.4970"	"0.0010"	"7"	"5.80e+06"	B+	"9.995544"	"13.501904"	"2p6.4p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"		"c31"	"L7414"	
Al	9	""	""	"353.5"	"1.0"	""	"1.51e+07"	A	"210.045"	"213.552"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T7192c4,LS"	""	
Ar	2	"353.53194"	"0.00001"	"353.531929"	"0.000005"	"170"	"5.7e+07"	B	"19.30534490"	"22.81135843"	"3s2.3p4.(3P).4p"	"4P*"	"1/2"	"3s2.3p4.(3P).4d"	"4D"	"3/2"		"T926"	"L11520"	
Ti	2	"353.54075"	"0.00003"	"353.540741"	"0.000015"	"950"	"9.61e+07"	B+	"2.06126756"	"5.56719371"	"3d2.(3P).4s"	"b 2P"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
W	1	"353.5539"	"0.0010"	"353.5545"	"0.0009"	"100"	"7.6e+06"	C	"1.649870"	"5.155660"	"5d4.6s2"	"3P2"	"1"	""	"*"	"2"		"T6977"	"L153"	
Cd	2	"353.56907"	"0.00010"	"353.5669+"	"0.0018"	"100"	"7.9e+05"	C	"5.779964"	"9.285630"	"4d10.5p"	"2P*"	"3/2"	"4d9.5s2"	"2D"	"3/2"		"T3315n,T4536"	"L3486,L3540"	
Sc	2	"353.5713"	"0.0010"	"353.5714"	"0.0010"	"13"	"6.1e+07"	B	"0.315038"	"3.820660"	"3p6.3d.4s"	"1D"	"2"	"3p6.3d.4p"	"1P*"	"1"		"T5448"	"L5141"	
Fe	2	""	""	"353.624660"	"0.000021"	""	"7.28e-02"	C+	"0.38651921"	"3.89161339"	"3d7"	"a 4F"	"3/2"	"3d6.(3D).4s"	"b 4D"	"5/2"	E2	"T9588c100"	""	
Fe	1	"353.65556"	"0.00004"	"353.655599"	"0.000018"	"39800"	"9.95e+07"	B+	"2.87550352"	"6.38029108"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7G"	"3"		"T5720"	"L11631"	
Hf	1	"353.6630"	"0.0004"	"353.662873"	"0.000008"	"24000"	"9.60e+06"	B+	"0.00000000"	"3.50471547"	"5d2.6s2"	"a 3F"	"2"	"5d2.(a 3F).6s.(a 4F).6p"	"y 3D*"	"2"		"T5346"	"L21976,L16323"	
Nb	4	"353.7125"	"0.0005"	"353.7125"	"0.0007"	"80000"	"7.3e+07"	C+	"27.446345"	"30.950568?"	"4d.6d"	"3D"	"2"	"4d.6f"	"3G*"	"3"		"T2192"	"L12094"	
Fe	1	"353.74918"	"0.00010"	"353.749169"	"0.000018"	"3470"	"2.27e+06"	B	"2.58810592"	"6.09196644"	"3d6.4s2"	"b 3F2"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"3"		"T5720"	"L11631"	
Fe	1	"353.77288"	"0.00004"	"353.77287"	"0.00003"	"10500"	"1.33e+07"	C+	"2.60850194"	"6.11212776"	"3d6.4s2"	"b 3F2"	"2"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"1"		"T5720"	"L11631"	
