element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
W	3	"202.5468"	"0.0010"	"202.5462"	"0.0005"	"5d"	"8.6e+06"	C	"2.278383"	"8.397690"	"5d4"	"3F2"	"4"	"5d3.(4F).6p"	"5F*"	"5"		"T7469"	"L10405"	
Zn	2	"202.54845"	"0.00010"	"202.5483+"	"0.0006"	"500"	"4.07e+08"	B+	"0.000000"	"6.119245"	"3d10.4s"	"2S"	"1/2"	"3d10.4p"	"2P*"	"3/2"		"T7574"	"L9761,L640"	
Cu	2	"202.548773"	"0.000013"	"202.548775"	"0.000006"	"8100000"	"6.8e+07"	C+	"2.97541889"	"9.09464957"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"2"		"T3103n"	"L19804c167"	
Fe	3	"202.5582"	"0.0005"	"202.55700"	"0.00016"	"57000"	"2.6e+08"	C	"10.767674"	"16.886657"	"3d5.(a 2D).4s"	"1D"	"2"	"3d5.(a 2D).4p"	"1F*"	"3"		"u45"	"L11223"	
W	3	"202.5652"	"0.0010"	"202.5647"	"0.0005"	"40"	"4.1e+06"	C	"2.278941"	"8.397690"	"5d4"	"3H"	"6"	"5d3.(4F).6p"	"5F*"	"5"		"T7469"	"L10405"	
O	2	"202.5694"	"0.0010"	"202.57048"	"0.00010"	"5"	"4.70e+06"	C	"25.8316247"	"31.950200"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		"T5723LS"	"L10549"	
Co	2	"202.575944"	"0.000018"	"202.575950"	"0.000009"	"15000"	"2.03e+07"	C+	"0.00000000"	"6.11840992"	"3d8"	"a 3F"	"4"	"3d7.(4F).4p"	"z 3G*"	"4"		"T6854"	"L9429c118"	
Mg	1	"202.5824"	"0.0010"	"202.58242"	"0.00010"	"9g"	"6.12e+07"	B+	"0.0000000"	"6.1182146"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"1P*"	"1"		"c45"	"L6095"	
Co	3	"202.5841"	"0.0003"	"202.5849"	"0.0005"	"980bl"	"1.3e+08"	C	"13.229098"	"19.347237"	"3d6.(3P1).4s"	"c 4P"	"5/2"	"3d6.(3F1).4p"	"u 4D*"	"7/2"		"u37"	"L19543c139,c153"	
C	2	""	""	"202.59416"	"0.00012"	""	"6.94e+05"	B	"20.709791"	"26.827651"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"		"T5109LS"	""	
Fe	3	"202.6046"	"0.0005"	"202.60475"	"0.00021"	"140000"	"2.9e+08"	C+	"11.025083"	"17.142623"	"3d5.(2H).4s"	"3H"	"6"	"3d5.(2H).4p"	"3H*"	"6"		"u45"	"L11223"	
Ca	3	"202.6050"	"0.0008"	"202.60553"	"0.00025"	"1000"	"2.16e+08"	B	"34.544603"	"40.662119"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"u33"	"L262"	
O	1	""	""	"202.643"	"0.010"	""	"2.82e+05"	C	"10.9887923"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"2"		"T5803"	""	
O	1	""	""	"202.646"	"0.010"	""	"3.70e+05"	C	"10.9888616"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"3"		"T5803"	""	
Ni	1	""	""	"202.6588"	"0.0010"	""	"2.4e+07"	C	"0.0000000"	"6.1159099"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).5p"	"3D*"	"3"		"T3861"	""	
Ca	3	"202.6589"	"0.0008"	"202.65914"	"0.00025"	"470"	"3.6e+07"	C	"34.972861"	"41.088760"	"3s2.3p5.4p"	"3P"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"u33"	"L262"	
Mg	4	""	""	"202.688"	"0.010"	""	"8.07e-04"	B	"68.85362"	"74.96864"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	M2	"c48"	""	
Mg	4	""	""	"202.688"	"0.010"	""	"1.34e+06"	C	"68.85362"	"74.96864"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"		"c46"	""	
Co	2	"202.704022"	"0.000018"	"202.704027"	"0.000013"	"32000"	"8.7e+07"	B	"0.19802719"	"6.31257177"	"3d8"	"a 3F"	"2"	"3d7.(4F).4p"	"z 3F*"	"2"		"T6854"	"L9429c118"	
Co	3	"202.704075"	"0.000020"	"202.7068"	"0.0004"	"53000bl(Co II)"	"2.1e+08"	C+	"13.218281"	"19.332741"	"3d6.(3F1).4s"	"c 4F"	"7/2"	"3d6.(3F1).4p"	"u 4D*"	"5/2"		"u37"	"L19543c139,c153"	
O	2	"202.7103"	"0.0010"	"202.70978"	"0.00010"	"10"	"1.27e+07"	C	"25.8487467"	"31.963118"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"		"T5723LS"	"L10549"	
Cu	2	"202.71336"	"0.00006"	"202.713416"	"0.000010"	"610000"	"1.3e+08"	C	"8.42057990"	"14.53484133"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"1"		"T8003n"	"L19804c167"	
Co	3	""	""	"202.7500"	"0.0006"	""	"2.9e+00"	C	"4.590195"	"10.7033547"	"3d7"	"a 2F"	"5/2"	"3d6.(1G2).4s"	"c 2G"	"7/2"	E2	"u37"	""	
Nb	4	"202.7509"	"0.0005"	"202.7501"	"0.0003"	"15000000"	"5.3e+08"	C+	"7.261343"	"13.374499"	"4d.5s"	"1D"	"2"	"4d.5p"	"1F*"	"3"		"T2192"	"L12094"	
O	2	"202.7603"	"0.0010"	"202.76014"	"0.00010"	"10"	"2.34e+07"	C	"25.8373471"	"31.950200"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		"T5723LS"	"L10549"	
Ca	3	"202.7667"	"0.0008"	"202.76681"	"0.00021"	"470"	"9.9e+06"	C	"34.544603"	"40.657254"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"u33"	"L262"	
F	5	""	""	"202.78"	"0.10"	""	"1.04e+08"	B	"92.2455"	"98.3577"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2P*"	"1/2"		"T7192c91,LS"	""	
F	5	""	""	"202.78"	"0.10"	""	"1.04e+07"	B	"92.2455"	"98.3577"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2P*"	"3/2"		"T7192c91,LS"	""	
Na	3	"202.8553"	"0.0005"	"202.8557"	"0.0012"	"12"	"1.93e+08"	B+	"50.954646"	"57.064621"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"4D"	"7/2"		"c51,T7317"	"L1882"	
Fe	3	"202.8564"	"0.0005"	"202.8564"	"0.0004"	"17000"	"3.0e+08"	C	"16.668920"	"22.778872"	"3d5.(2P).4s"	"1P"	"1"	"3d5.(2P).4p"	"1D*"	"2"		"u45"	"L11223"	
F	5	""	""	"202.89"	"0.10"	""	"9.4e+07"	B	"92.2487"	"98.3577"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2P*"	"3/2"		"T7192c91,LS"	""	
N	3	""	""	"202.919"	"0.010"	""	"3.96e+05"	C+	"43.82105"	"49.92913"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	""	"202.926"	"0.010"	""	"1.98e+06"	B	"43.82129"	"49.92913"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
Ni	1	""	""	"202.927"	"0.010"	""	"2.3e+06"	C	"0.1090833"	"6.21691"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"*"	"3"		"T3861"	""	
Cu	2	"202.99491"	"0.00007"	"202.994908"	"0.000007"	"560000"	"8.0e+07"	B	"8.23486741"	"14.34065139"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"1"		"T8003"	"L19804c167"	
B	2	""	""	"203.036"	"0.004"	""	"1.22e+07"	C	"17.852479"	"23.95703"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	""	
B	2	""	""	"203.038"	"0.004"	""	"3.66e+07"	C	"17.852554"	"23.95703"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	""	
Fe	3	""	""	"203.0526"	"0.0004"	""	"1.6e+01"	C	"2.660939"	"8.764989"	"3d6"	"a 3F"	"4"	"3d5.(4G).4s"	"3G"	"5"	E2	"u45"	""	
B	2	""	""	"203.053"	"0.004"	""	"6.09e+07"	B	"17.852994"	"23.95703"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	""	
Co	3	"203.0663"	"0.0004"	"203.0661"	"0.0004"	"180"	"6.1e+07"	C	"13.229098"	"19.332741"	"3d6.(3P1).4s"	"c 4P"	"5/2"	"3d6.(3F1).4p"	"u 4D*"	"5/2"		"u37"	"L19543c139"	
W	3	"203.0744"	"0.0010"	"203.0739"	"0.0005"	"100"	"4.36e+07"	B	"1.359926"	"7.463335"	"5d3.(4F).6s"	"5F"	"1"	"5d3.(4F).6p"	"5F*"	"1"		"T7469"	"L10405"	
Fe	3	"203.0772"	"0.0005"	"203.0773"	"0.0005"	"31000"	"3.9e+08"	C	"12.697265"	"18.800571"	"3d5.(2S).4s"	"1S"	"0"	"3d5.(2S).4p"	"1P*"	"1"		"u45"	"L11223"	
Cu	2	"203.103579"	"0.000017"	"203.103598"	"0.000007"	"2700000"	"4.5e+08"	B	"8.23486741"	"14.33738437"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"2"		"T8003"	"L19804c167"	
Na	3	"203.1128"	"0.0005"	"203.1128"	"0.0012"	"12"	"3.08e+08"	C+	"51.474802"	"57.577043"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"2F"	"5/2"		"c51,T7317"	"L1882"	
Co	3	"203.180734"	"0.000024"	"203.180744"	"0.000025"	"6100"	"2.4e+08"	C+	"9.5210695"	"15.6212697"	"3d6.(3P2).4s"	"b 2P"	"3/2"	"3d6.(3P2).4p"	"z 2D*"	"5/2"		"u37"	"L19543c139"	
Nb	4	"203.2497"	"0.0005"	"203.2486"	"0.0005"	"100M"	"5.9e+08"	C+	"6.671648"	"12.769813"	"4d.5s"	"3D"	"3"	"4d.5p"	"3F*"	"4"		"T2192"	"L12094"	
N	3	""	""	"203.253"	"0.010"	""	"1.58e+06"	B	"43.82105"	"49.91909"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192LS"	""	
N	3	""	""	"203.261"	"0.010"	""	"7.88e+05"	C+	"43.82129"	"49.91909"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192LS"	""	
Be	1	"203.265"	"0.005"	"203.2602"	"0.0003"	"9*"	"1.06e+06"	C	"2.724963"	"8.822779"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.6s"	"3S"	"1"		"u28"	"L7412"	
Be	1	"203.265"	"0.005"	"203.26274"	"0.00025"	"9*"	"3.17e+06"	C	"2.7250394"	"8.822779"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.6s"	"3S"	"1"		"u28"	"L7412"	
Be	1	"203.265"	"0.005"	"203.27239"	"0.00025"	"9*"	"5.3e+06"	C	"2.725329"	"8.822779"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.6s"	"3S"	"1"		"u28"	"L7412"	
Ca	3	"203.3358"	"0.0008"	"203.3358"	"0.0003"	"1700"	"1.51e+08"	B	"34.346400"	"40.441949"	"3s2.3p5.4p"	"3D"	"3"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"		"u33"	"L262"	
Ni	2	""	""	"203.3389"	"0.0010"	""	"2.3e+06"	C	"1.156778"	"7.252234"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"2F*"	"5/2"		"T1024n"	""	
Cu	2	"203.3844"	"0.0003"	"203.384242"	"0.000009"	"62000"	"8.9e+06"	C+	"8.52154401"	"14.61564148"	"3d9.4p"	"3F*"	"4"	"3d9.(2D<3/2>).4d"	"2[7/2]"	"4"		"T8003"	"L19804c170"	
Ag	2	"203.392680"	"0.000013"	"203.392686"	"0.000007"	"38000"	"2.4e+07"	B	"5.05178168"	"11.14562618"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"4d9.(2D<3/2>).5p"	"2[3/2]*"	"1"		"T6475c87"	"L11881c113"	
Nb	4	"203.3996"	"0.0005"	"203.3991"	"0.0004"	"10000000"	"3.2e+08"	C+	"6.525283"	"12.618934"	"4d.5s"	"3D"	"2"	"4d.5p"	"3D*"	"3"		"T2192"	"L12094"	
Al	7	""	""	"203.4"	"1.0"	""	"3.48e+07"	B	"191.308?"	"197.401"	"2s2.2p2.(3P).4s"	"4P"	"5/2"	"2s.2p3.(3D*).3d?"	"4P*?"	"3/2"		"u22,LS"	""	
Co	3	"203.42736"	"0.00012"	"203.4269"	"0.0004"	"510"	"2.0e+08"	C	"13.2116300"	"19.304449"	"3d6.(3F1).4s"	"c 4F"	"5/2"	"3d6.(3P1).4p"	"v 4D*"	"3/2"		"u37"	"L19543c139,c153"	
Fe	3	"203.4297"	"0.0005"	"203.43052"	"0.00017"	"41000"	"2.1e+08"	C	"11.218609"	"17.311320"	"3d5.(4F).4s"	"3F"	"3"	"3d5.(4F).4p"	"3G*"	"4"		"u45"	"L11223"	
Nb	4	"203.4346"	"0.0021"	"203.4321"	"0.0008"	"50000p(Nb III)"	"6.6e+08"	C+	"22.963835"	"29.056499"	"4d.4f"	"3G*"	"4"	"4d.(2D<5/2>).5g"	"2[11/2]"	"5"		"T2192"	"L12094"	
Fe	3	"203.4708"	"0.0005"	"203.47078"	"0.00021"	"56000"	"2.5e+08"	C+	"11.025083"	"17.116589"	"3d5.(2H).4s"	"3H"	"6"	"3d5.(2H).4p"	"3G*"	"5"		"u45"	"L11223"	
O	4	""	""	"203.518"	"0.010"	""	"2.07e+07"	B	"67.8634"	"73.9535"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"7/2"		"T5109LS"	""	
N	4	""	""	"203.557"	"0.010"	""	"2.37e+08"	B	"62.44841"	"68.53734"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"		"T5633LS"	""	
N	4	""	""	"203.562"	"0.010"	""	"5.91e+07"	B	"62.44841"	"68.53718"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"2"		"T5633LS"	""	
N	4	""	""	"203.562"	"0.010"	""	"6.57e+06"	B	"62.44841"	"68.53718"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"1"		"T5633LS"	""	
Nb	4	"203.5750"	"0.0005"	"203.5748"	"0.0004"	"5000"	"2.2e+08"	C+	"22.963835"	"29.052228"	"4d.4f"	"3G*"	"4"	"4d.(2D<5/2>).5g"	"2[9/2]"	"4"		"T2192"	"L12094"	
Cu	2	"203.585321"	"0.000007"	"203.585327"	"0.000006"	"19000000"	"3.7e+08"	C+	"2.97541889"	"9.06349793"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"1"		"T3103"	"L19804c167"	
Na	3	"203.5897"	"0.0005"	"203.5898"	"0.0012"	"11"	"6.23e+08"	B+	"51.690167"	"57.778113"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	"2s2.2p4.(3P).3d"	"2P"	"1/2"		"c51,T7317"	"L1882"	
N	4	""	""	"203.610"	"0.010"	""	"1.77e+08"	B	"62.44984"	"68.53718"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"		"T5633LS"	""	
N	4	""	""	"203.610"	"0.010"	""	"9.85e+07"	B	"62.44984"	"68.53718"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"1"		"T5633LS"	""	
N	4	""	""	"203.643"	"0.010"	""	"1.31e+08"	B	"62.45082"	"68.53718"	"1s2.2s.4p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"		"T5633LS"	""	
Pt	2	"203.646617"	"0.000012"	"203.646627"	"0.000009"	"34000"	"1.26e+08"	B+	"0.5934693"	"6.6797160"	"5d8.6s"	"4F"	"9/2"	"5d8.(3F).6p"	"(4,1/2)*"	"9/2"		"T8261"	"L9083,L11529"	
Co	2	"203.65851"	"0.00002"	"203.658520"	"0.000013"	"3900"	"9.0e+06"	C	"0.11782516"	"6.20371650"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"		"T6135"	"L9429c118"	
Cu	2	"203.69201"	"0.00003"	"203.692001"	"0.000010"	"730000"	"1.9e+08"	C	"8.53634465"	"14.62123579"	"3d9.4p"	"3P*"	"0"	"3d9.(2D<3/2>).4d"	"2[3/2]"	"1"		"T7181"	"L19804c167"	
Cu	2	"203.712672"	"0.000006"	"203.712668"	"0.000005"	"13000000"	"1.36e+08"	B	"2.83268156"	"8.91695547"	"3d9.4s"	"3D"	"2"	"3d9.4p"	"3D*"	"3"		"T6136n"	"L19804c167"	
Fe	3	"203.7302"	"0.0005"	"203.73035"	"0.00021"	"74000"	"2.9e+08"	C+	"10.996761"	"17.080507"	"3d5.(2H).4s"	"3H"	"5"	"3d5.(2H).4p"	"3H*"	"5"		"u45"	"L11223"	
Na	3	"203.7776"	"0.0005"	"203.7780"	"0.0012"	"8"	"6.73e+07"	B	"51.024008"	"57.106331"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"		"c51,T7317"	"L1882"	
C	2	""	""	"203.8096"	"0.0006"	""	"2.37e+06"	B	"22.898766"	"28.980146"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"5/2"		"T5109LS"	""	
Fe	3	""	""	"203.8940"	"0.0003"	""	"1.2e+01"	C	"2.690431"	"8.769293"	"3d6"	"a 3F"	"3"	"3d5.(4G).4s"	"3G"	"4"	E2	"u45"	""	
Co	3	"203.91587"	"0.00005"	"203.91588"	"0.00005"	"1800"	"1.21e+08"	C	"9.7247776"	"15.8029890"	"3d6.(3P2).4s"	"b 2P"	"1/2"	"3d6.(3P2).4p"	"z 2D*"	"3/2"		"u37"	"L19543c139"	
Fe	3	"203.9520"	"0.0005"	"203.9522"	"0.0003"	"180000"	"4.44e+08"	B	"11.471505"	"17.548634"	"3d5.(2H).4s"	"1H"	"5"	"3d5.(2H).4p"	"1I*"	"6"		"u45"	"L11223"	
Mg	3	"203.9553"	"0.0010"	"203.9549"	"0.0010"	"15"	"1.54e+08"	A	"52.77267"	"58.84972"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"2"		"c46"	"L1434"	
B	2	"203.984"	"0.005"	"203.9842"	"0.0009"	"40"	"1.91e+07"	C	"17.062984"	"23.139161"	"1s2.2s.3s"	"1S"	"0"	"1s2.2p.3s"	"1P*"	"1"		"u27"	"L12120"	
C	2	""	""	"204.0065"	"0.0017"	""	"2.37e+06"	B	"22.898766"	"28.97428"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"3/2"		"T5109LS"	""	
C	2	""	""	"204.007"	"0.005"	""	"1.1e+07"	C	"22.536905"	"28.61242"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).5d"	"4D*"	"7/2"		"T10528"	""	
Co	3	"204.0180"	"0.0004"	"204.0176"	"0.0006"	"320"	"2.3e+08"	C	"13.2001513"	"19.275334"	"3d6.(3F1).4s"	"c 4F"	"3/2"	"3d6.(3P1).4p"	"v 4D*"	"1/2"		"u37"	"L19543c139,c153"	
O	3	""	""	"204.0769"	"0.0010"	""	"3.04e+06"	C	"44.243139"	"50.316554"	"2s2.2p.(2P*).4s"	"3P*"	"1"	"2s.2p2.(4P).3d"	"3D"	"2"		"T5376LS"	""	
W	2	"204.08731"	"0.00010"	"204.087180"	"0.000054"	"12"	"2.48e+07"	B	"0.00000000"	"6.07311043"	"5d4.(5D).6s"	"6D"	"1/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"		"T7162"	"L11762"	
C	2	""	""	"204.100"	"0.003"	""	"2.36e+06"	B	"22.898766"	"28.97150"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"1/2"		"T5109LS"	""	
O	4	""	""	"204.145"	"0.010"	""	"1.91e+07"	B	"67.8598"	"73.9312"	"2s.2p.(1P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T5109LS"	""	
Co	3	""	""	"204.1526"	"0.0005"	""	"3.7e+00"	C	"4.626824"	"10.6979895"	"3d7"	"a 2F"	"7/2"	"3d6.(1G2).4s"	"c 2G"	"9/2"	E2	"u37"	""	
Ca	3	"204.1538"	"0.0008"	"204.1540"	"0.0005"	"1700"	"2.6e+07"	C	"28.319721"	"34.390844"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.4p"	"3D"	"2"		"T7942"	"L262"	
Pt	2	"204.157469"	"0.000016"	"204.157482"	"0.000013"	"22000"	"9.7e+07"	C+	"1.9578728"	"8.0288922"	"5d9"	"2D"	"3/2"	"5d8.(3F).6p"	"(3,1/2)*"	"5/2"		"T8261"	"L9083,L11529"	
Na	3	"204.1661"	"0.0005"	"204.1665"	"0.0012"	"12"	"1.64e+08"	B	"51.364403"	"57.435154"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4F"	"7/2"		"c51,T7317"	"L1882"	
Ge	1	"204.17121"	"0.00010"	"204.17121"	"0.00010"	"2400r"	"1.1e+08"	C	"0.00000000"	"6.0706114"	"4s2.4p2"	"3P"	"0"	"4s2.4p.4d"	"3D*"	"1"		"T4515"	"L3476"	
F	5	""	""	"204.22"	"0.10"	""	"1.22e+08"	B	"79.2080"	"85.2771"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2S"	"1/2"		"T7192c91,LS"	""	
Co	24	""	""	"204.22"	"0.10"	""	"1.060e+03"	C	"135.042"	"141.111"	"1s2.2p2"	"3P"	"1"	"1s2.2p2"	"3P"	"2"	M1	"T4009"	""	
O	3	""	""	"204.228"	"0.010"	""	"2.18e+07"	C+	"45.344339"	"51.4133"	"2s2.2p.(2P*).4p"	"1P"	"1"	"2s2.2p.(2P*).6d"	"1D*"	"2"		"T5376"	""	
Ne	6	"204.2382"	"0.0010"	"204.2382"	"0.0010"	"350"	"2.17e+08"	A	"89.58882"	"95.65744"	"2s2.3s"	"2S"	"1/2"	"2s2.3p"	"2P*"	"3/2"		"T7194c75"	"L9340"	
O	4	""	""	"204.266"	"0.010"	""	"1.36e+06"	B	"67.8634"	"73.9312"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T5109LS"	""	
V	16	"204.27"	"0.10"	"204.28+"	"0.06"	""	"2.48e+03"	C+	"0.0000"	"6.0674"	"2s2.2p4"	"3P"	"2"	"2s2.2p4"	"3P"	"1"	M1	"T3941"	"L6339"	
Na	3	"204.3290"	"0.0005"	"204.3289"	"0.0012"	"12"	"4.02e+08"	B+	"49.492299"	"55.558226"	"2s2.2p4.(1D).3s"	"2D"	"3/2"	"2s2.2p4.(1D).3p"	"2P*"	"1/2"		"c51,T7317"	"L1882"	
N	5	""	""	"204.352"	"0.010"	""	"1.29e+07"	B	"88.33418"	"[94.39942]"	"1s2.6p"	"2P*"	"1/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
Cu	2	"204.38019"	"0.00005"	"204.380148"	"0.000008"	"21000000"	"1.42e+08"	C+	"2.71881633"	"8.78322249"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1F*"	"3"		"T3103n"	"L869c171"	
N	5	""	""	"204.391"	"0.010"	""	"2.58e+07"	B	"88.33534"	"[94.39942]"	"1s2.6p"	"2P*"	"3/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
Na	3	""	""	"204.4130"	"0.0012"	""	"1.05e+07"	C	"51.474802"	"57.538235"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4F"	"3/2"		"c51,T7317"	""	
N	2	""	""	"204.4761"	"0.0010"	""	"2.11e+07"	B	"21.599539"	"27.661100"	"2s2.2p.3p"	"1D"	"2"	"2s2.2p.6s"	"1P*"	"1"		"T5520"	""	
Na	3	"204.4823"	"0.0005"	"204.4821"	"0.0012"	"10"	"4.00e+08"	B+	"55.271848"	"61.333230"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(1D).3d"	"2D"	"3/2"		"c51,T7317"	"L1882"	
C	4	""	""	"204.513"	"0.010"	""	"1.08e+07"	B	"55.65103"	"[61.71149]"	"1s2.5p"	"2P*"	"1/2"	"1s2.9s"	"2S"	"1/2"		"T3225LS"	""	
C	4	""	""	"204.543"	"0.010"	""	"2.17e+07"	B	"55.65191"	"[61.71149]"	"1s2.5p"	"2P*"	"3/2"	"1s2.9s"	"2S"	"1/2"		"T3225LS"	""	
Na	3	"204.5443"	"0.0005"	"204.5450"	"0.0012"	"10"	"1.05e+08"	B+	"51.024008"	"57.083528"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"		"c51,T7317"	"L1882"	
Fe	3	""	""	"204.5657"	"0.0004"	""	"1.6e+01"	C	"2.709933"	"8.768839"	"3d6"	"a 3F"	"2"	"3d5.(4G).4s"	"3G"	"3"	E2	"u45"	""	
Ca	3	"204.5803"	"0.0008"	"204.57991"	"0.00025"	"1300"	"1.84e+08"	B	"34.683563"	"40.742048"	"3s2.3p5.4p"	"1D"	"2"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"		"u33"	"L262"	
Fe	3	"204.5838"	"0.0005"	"204.58410"	"0.00021"	"97000"	"2.5e+08"	C+	"10.992945"	"17.051306"	"3d5.(2H).4s"	"3H"	"4"	"3d5.(2H).4p"	"3H*"	"4"		"u45"	"L11223"	
Ca	3	"204.6819"	"0.0008"	"204.68184"	"0.00025"	"1000"	"1.45e+08"	B	"34.683563"	"40.739032"	"3s2.3p5.4p"	"1D"	"2"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"u33"	"L262"	
Fe	3	""	""	"204.6913"	"0.0005"	""	"3.9e-01"	C	"0.091608"	"6.146798"	"3d6"	"5D"	"2"	"3d6"	"b 3P"	"1"	M1+E2	"u45"	""	
